What is your gender?,Please select the district you are living?,What is your family’s monthly income?,On what level do you have access to the required technical devices for e-learning? (1 being no access and 5 being having enough access),Who is your internet service provider?(Please select the most frequently used one),What is the level of satisfaction about your internet connection?,What is your university?,What is the academic year?,What is your field of education?,How long have you been using e-learning?,How many hours per week you spend on lectures?,On what level do you interact with the lecturers during the class?,How much you satisfied with the quality of teaching?,What is your level of satisfaction regarding online exams and assignments?,Are you satisfied with the time you are getting during the exams and online assignments?,What is the level of satisfaction of your lab lessons/practical lessons?,How satisfied are you with your interactions with your batch mates?,Up to what level do you engage with extra-curricular activities that your university conducts?,"How distracted you get during your online lessons? (Eg: Due to loss of internet connection, background noise etc.)",How much you prefer e-learning over in-premises learning?
Female,Badulla,"20,000 – 50,000",3,Dialog Axiata,1,University of Moratuwa,4th year,Engineering,1-2 years,20 – 30 hours,2,4,1,1,1,1,5,5,2
Male,Gampaha,"More than 100,000",4,Lanka Bell Limited,5,University of Moratuwa,4th year,Computing & IT,More than 2 years,Less than 10 hours,1,3,3,3,3,3,3,4,3
Female,Hambantota,"50,000 - 100,000",4,Sri Lanka Telecom,3,University of Jaffna,4th year,Other,Less than 6 months,20 – 30 hours,4,4,3,3,1,2,2,3,3
Male,Puttalam,"20,000 – 50,000",1,Sri Lanka Telecom,3,Wayamba University,4th year,Food Science & Agriculture,More than 2 years,10 - 20 hours,4,5,4,4,1,2,2,2,2
Female,Colombo,"More than 100,000",5,Sri Lanka Telecom,5,Sri Jayewardenepura,4th year,Business & Management,More than 2 years,30 – 40 hours,5,5,5,5,5,2,2,4,3
Female,Gampaha,"20,000 – 50,000",3,Mobitel,5,Open University,1st year,Business & Management,Less than 6 months,Less than 10 hours,3,3,3,4,3,3,2,3,3
Female,Matara,"More than 100,000",5,Sri Lanka Telecom,4,University of Moratuwa,1st year,Computing & IT,1-2 years,10 - 20 hours,1,3,3,3,3,2,2,4,2
Female,Matara,"More than 100,000",5,Dialog Axiata,3,University of Ruhuna,2nd year,Languages,1-2 years,10 - 20 hours,2,3,3,3,2,2,2,4,1
Female,Hambantota,"50,000 - 100,000",3,Dialog Axiata,4,University of Moratuwa,4th year,Computing & IT,More than 2 years,30 – 40 hours,4,3,3,3,3,3,3,3,3
Male,Galle,"More than 100,000",4,Sri Lanka Telecom,5,University of Moratuwa,4th year,Computing & IT,More than 2 years,20 – 30 hours,3,4,5,1,3,4,3,4,5
